,patch_id,star_id_b,star_id_r,magnitude_b,magnitude_r,asc_d,asc_m,asc_s,dec_d,dec_m,dec_s,period,frequency,num_points_good_b,num_points_good_r,asym_b,asym_r,log_p_not_variable,sigma_flux_b,sigma_flux_r,type,quality,div_period
33_4835,33.0,4835.0,4603.0,18.3563,18.4992,5.0,43.0,15.64,-66.0,37.0,58.07,1.25654,0.795836,122.0,121.0,0.605263,0.613333,-7.79395,70.0594,61.7442,1.0,2.0,3.0
193_4440,193.0,4440.0,4597.0,18.8718,18.4411,5.0,36.0,15.4,-70.0,31.0,25.14,1.07862,0.927111,124.0,123.0,2.75758,0.892308,-2.60942,50.4029,67.6197,3.0,1.0,3.0
254_949,254.0,949.0,811.0,16.2919,16.2119,5.0,29.0,3.02,-66.0,6.0,17.03,2.98723,0.334758,121.0,115.0,1.42,2.59375,-0.470926,491.375,597.956,3.0,0.0,3.0
688_495,688.0,495.0,524.0,19.4583,19.2575,4.0,58.0,21.14,-68.0,41.0,57.01,3.87994,0.257736,118.0,113.0,1.51064,0.982456,-0.597141,27.5949,31.5329,3.0,1.0,7.0
530_10622,530.0,10622.0,10079.0,18.8618,17.8906,5.0,8.0,13.56,-70.0,49.0,40.7,1.08076,0.925275,118.0,119.0,3.06897,0.75,-1.78407,48.9988,109.276,3.0,2.0,2.0
555_10547,555.0,10547.0,10859.0,18.3767,18.1714,5.0,6.0,29.36,-70.0,11.0,50.03,2.36809,0.422281,115.0,120.0,2.28571,1.0339,-0.921183,75.2998,86.6308,3.0,1.0,4.0
98_6309,98.0,6309.0,6116.0,19.5649,18.9865,5.0,42.0,24.14,-68.0,26.0,24.84,1.1296,0.8852690000000001,122.0,116.0,1.97561,2.1351400000000003,-10.1218,26.6887,43.834,3.0,2.0,2.0
329_1434,329.0,1434.0,1557.0,13.3181,13.5202,5.0,25.0,40.47,-69.0,50.0,13.73,5.37498,0.186047,124.0,120.0,1.43137,1.14286,-2.8404700000000003,7705.55,6342.85,3.0,1.0,6.0
601_1415,601.0,1415.0,1442.0,19.9972,19.3317,5.0,4.0,48.49,-68.0,10.0,4.15,3.44124,0.290593,119.0,118.0,2.4,0.552632,-3.8871,18.219,27.1495,1.0,0.0,6.0
322_6826,322.0,6826.0,7055.0,19.3398,19.0239,5.0,25.0,19.91,-68.0,35.0,30.89,1.59264,0.627888,123.0,119.0,2.96774,1.33333,-7.576060000000001,36.146,41.4346,3.0,2.0,3.0
544_8104,544.0,8104.0,8301.0,19.3608,18.8573,5.0,8.0,41.62,-68.0,8.0,33.52,1.27173,0.78633,117.0,120.0,0.918033,1.7907,0.0610271,28.9858,48.0942,3.0,0.0,2.0
268_9991,268.0,9991.0,11205.0,17.4298,16.7756,5.0,28.0,27.62,-68.0,56.0,52.85,4.62252,0.216332,123.0,125.0,2.23684,0.689189,-4.69413,183.061,304.638,3.0,2.0,7.0
214_9170,214.0,9170.0,10080.0,19.6668,19.2544,5.0,33.0,24.07,-69.0,15.0,39.21,1.72307,0.5803590000000001,123.0,121.0,1.19643,1.6888900000000002,-0.125443,22.8468,35.9401,3.0,1.0,5.0
519_8015,519.0,8015.0,8549.0,16.0496,15.9987,5.0,10.0,27.13,-68.0,43.0,57.23,14.6138,0.0684285,117.0,120.0,0.285714,0.363636,-8.57585,529.22,596.739,1.0,2.0,5.0
359_10357,359.0,10357.0,10797.0,19.36,19.2588,5.0,22.0,31.51,-70.0,17.0,11.27,2.46844,0.405114,124.0,116.0,0.968254,1.57778,-2.48412,28.3875,34.9086,3.0,1.0,9.0
584_10002,584.0,10002.0,10452.0,16.9272,16.0637,5.0,4.0,1.94,-70.0,27.0,37.68,15.0161,0.0665952,118.0,120.0,2.93333,1.4,-8.00315,330.853,608.604,2.0,2.0,5.0
485_6674,485.0,6674.0,6923.0,18.2921,17.6558,5.0,13.0,20.7,-67.0,33.0,29.43,2.73529,0.365592,117.0,120.0,0.06363640000000001,0.538462,-6.14851,64.3102,134.67700000000002,1.0,0.0,3.0
268_2289,268.0,2289.0,2253.0,16.3047,15.6966,5.0,29.0,27.11,-68.0,49.0,0.08,1.99102,0.502255,123.0,125.0,0.952381,0.689189,-1.37649,477.889,809.2330000000002,3.0,0.0,2.0
494_1363,494.0,1363.0,1453.0,19.355,19.2203,5.0,12.0,40.72,-69.0,9.0,54.5,3.01619,0.331544,117.0,103.0,1.54348,1.28889,-0.527295,30.0816,34.9439,2.0,0.0,2.0
268_5411,268.0,5411.0,5523.0,18.4908,16.0048,5.0,28.0,11.07,-68.0,48.0,18.9,227.027,0.00440476,123.0,125.0,1.08475,1.11864,-6.98047,64.654,638.198,4.0,1.0,1.0
600_2781,600.0,2781.0,3064.0,20.5671,19.4016,5.0,4.0,28.88,-68.0,0.0,52.02,2.64071,0.378686,99.0,117.0,2.0,0.6714289999999999,-0.261037,11.1094,26.0826,3.0,1.0,4.0
744_1997,744.0,1997.0,1841.0,16.1274,15.7791,4.0,53.0,38.24,-68.0,39.0,59.61,2.73423,0.365734,118.0,116.0,1.26923,1.07143,0.0374912,572.395,781.569,2.0,0.0,2.0
271_6891,271.0,6891.0,7532.0,17.9094,16.8842,5.0,30.0,5.17,-69.0,31.0,43.41,6.05537,0.165143,123.0,124.0,2.075,1.43137,-3.72284,117.51,289.626,3.0,1.0,9.0
281_6230,281.0,6230.0,6354.0,19.2136,18.983,5.0,26.0,51.22,-66.0,5.0,24.79,5.3421699999999985,0.18719,84.0,99.0,0.037037,0.375,-2.4361,24.6316,38.0775,1.0,2.0,1.0
327_5207,327.0,5207.0,5895.0,19.4827,18.6718,5.0,24.0,6.33,-69.0,25.0,31.23,0.415525,2.40659,116.0,116.0,1.46809,0.757576,-0.106222,26.7916,50.4472,3.0,0.0,2.0
249_5396,249.0,5396.0,5622.0,19.1288,18.202,5.0,31.0,19.32,-70.0,33.0,19.14,3.36057,0.29756900000000003,123.0,123.0,2.41667,2.0,-3.72459,39.0113,88.4007,3.0,2.0,6.0
180_3138,180.0,3138.0,2942.0,19.8729,18.992,5.0,35.0,0.24,-68.0,2.0,9.59,3.83459,0.260784,123.0,120.0,1.15789,1.18182,-1.64343,18.048,41.5198,3.0,2.0,5.0
629_11594,629.0,11594.0,11685.0,17.7708,17.1003,5.0,1.0,13.38,-68.0,16.0,40.66,3.63482,0.275117,117.0,116.0,1.6,1.18868,-3.65364,128.162,229.596,3.0,2.0,5.0
261_5724,261.0,5724.0,6715.0,15.9729,15.9844,5.0,27.0,52.7,-67.0,28.0,13.1,4.9786800000000015,0.200856,123.0,125.0,0.64,1.01613,-5.06476,635.786,645.764,3.0,0.0,5.0
607_1241,607.0,1241.0,7718.0,18.7232,18.2061,5.0,3.0,52.55,-69.0,24.0,20.96,1.6807299999999998,0.5949800000000001,119.0,120.0,2.83871,0.875,-3.26847,58.8587,83.3284,3.0,2.0,3.0
303_6594,303.0,6594.0,7025.0,19.3153,18.4851,5.0,28.0,26.35,-70.0,15.0,32.07,1.48796,0.672061,123.0,122.0,5.15,1.03333,-2.55545,42.4619,64.3754,3.0,1.0,3.0
333_4033,333.0,4033.0,4133.0,18.8558,18.6183,5.0,24.0,59.11,-70.0,34.0,49.5,2.8599,0.349663,121.0,125.0,2.10256,0.953125,-3.34755,47.86600000000001,57.539,3.0,0.0,5.0
271_8238,271.0,8238.0,9057.0,19.0973,19.0335,5.0,29.0,32.77,-69.0,30.0,34.69,1.47604,0.677488,123.0,118.0,2.96774,1.18519,-5.40969,42.6775,41.1705,3.0,1.0,5.0
635_8235,635.0,8235.0,8596.0,18.1309,17.9672,5.0,1.0,16.26,-69.0,28.0,45.32,0.7102569999999999,1.40794,116.0,119.0,2.22222,1.53191,-1.53991,92.4002,106.49,3.0,1.0,2.0
136_4697,136.0,4697.0,4898.0,18.6935,15.8359,5.0,40.0,33.68,-70.0,20.0,30.8,306.569,0.00326191,123.0,124.0,0.618421,0.6533329999999999,-14.7721,51.1239,730.265,4.0,1.0,1.0
21_4392,21.0,4392.0,4294.0,19.4435,18.8298,5.0,48.0,52.19,-69.0,40.0,54.02,0.936026,1.06835,114.0,108.0,2.93103,1.84211,-8.766869999999999,30.4762,50.0687,3.0,2.0,2.0
254_6454,254.0,6454.0,6158.0,19.1942,18.1189,5.0,28.0,57.12,-66.0,14.0,56.92,2.98999,0.334449,121.0,115.0,2.4571400000000003,2.96552,-2.07744,36.2606,99.0745,3.0,0.0,3.0
487_10026,487.0,10026.0,10023.0,18.6233,17.6522,5.0,11.0,58.59,-67.0,55.0,34.03,1.6964099999999998,0.58948,117.0,120.0,2.44118,1.10526,-6.13181,61.6858,140.415,3.0,2.0,3.0
241_6614,241.0,6614.0,7151.0,19.5388,18.7931,5.0,32.0,11.71,-69.0,6.0,10.42,3.21473,0.311068,101.0,96.0,2.48276,0.882353,-4.1684199999999985,28.9681,48.3536,3.0,2.0,6.0
212_5164,212.0,5164.0,5323.0,18.3128,17.6013,5.0,32.0,37.27,-68.0,48.0,19.52,0.5193300000000001,1.92556,124.0,124.0,2.44444,1.03279,0.32252800000000004,79.0125,145.482,3.0,1.0,1.0
396_265,396.0,265.0,229.0,20.0801,19.4478,5.0,19.0,48.48,-66.0,31.0,54.59,2.37734,0.420638,121.0,119.0,2.025,0.8888889999999999,-6.8241,16.7481,25.3217,3.0,1.0,5.0
712_2690,712.0,2690.0,2504.0,19.4283,19.3572,4.0,56.0,17.7,-67.0,58.0,54.81,5.27309,0.189642,119.0,105.0,2.21622,0.944444,-4.68772,29.7994,28.2311,3.0,2.0,8.0
705_6463,705.0,6463.0,6656.0,18.3491,16.0345,4.0,58.0,15.97,-66.0,41.0,50.03,221.052,0.00452382,118.0,114.0,1.62222,1.07273,-16.2426,81.9164,637.073,4.0,3.0,1.0
542_4738,542.0,4738.0,4548.0,19.2618,18.6836,5.0,7.0,59.69,-67.0,38.0,34.06,2.78628,0.358901,117.0,120.0,2.9,1.26415,-2.97532,34.9491,54.3811,3.0,2.0,5.0
657_3768,657.0,3768.0,3802.0,19.4288,18.9255,4.0,59.0,49.88,-68.0,12.0,34.69,1.83864,0.54388,119.0,112.0,2.13158,1.24,-8.77242,31.9962,43.5071,3.0,2.0,3.0
185_3368,185.0,3368.0,3797.0,18.4011,18.0147,5.0,35.0,21.88,-68.0,58.0,55.41,1.93523,0.516734,124.0,123.0,0.319149,1.36538,-0.274596,63.3127,102.211,1.0,0.0,1.0
721_5468,721.0,5468.0,5464.0,16.8085,15.6141,4.0,53.0,13.53,-69.0,39.0,8.44,12.3131,0.0812143,118.0,112.0,1.51064,0.513514,-4.97477,319.701,882.96,2.0,2.0,4.0
244_8301,244.0,8301.0,8849.0,18.9106,17.7148,5.0,31.0,56.23,-69.0,43.0,25.58,2.21814,0.450828,100.0,98.0,1.63158,0.921569,-0.128971,45.1009,130.438,3.0,1.0,6.0
336_508,336.0,508.0,563.0,19.6454,19.258,5.0,26.0,18.67,-71.0,7.0,19.2,2.93013,0.34128200000000003,110.0,96.0,0.392405,0.92,-0.307572,20.5457,31.3191,1.0,0.0,1.0
556_10734,556.0,10734.0,11104.0,16.6354,15.6621,5.0,6.0,7.1,-70.0,26.0,8.89,4.44212,0.225118,119.0,120.0,2.4,0.714286,-14.197,423.554,836.75,2.0,2.0,1.0
722_2783,722.0,2783.0,2600.0,18.3791,17.1229,4.0,53.0,52.74,-69.0,52.0,56.83,86.4197,0.0115714,117.0,112.0,0.344828,0.382716,-4.56347,67.5829,208.644,1.0,1.0,5.0
670_7816,670.0,7816.0,7408.0,19.6118,18.9362,4.0,57.0,24.76,-70.0,44.0,46.73,3.16793,0.315664,110.0,107.0,1.97297,0.465753,-4.48651,24.3476,39.6576,3.0,2.0,5.0
543_6463,543.0,6463.0,6513.0,18.8147,18.1485,5.0,9.0,17.63,-67.0,58.0,31.72,1.17468,0.8512959999999999,115.0,120.0,1.67442,0.791045,-2.02813,48.9178,86.0616,3.0,1.0,2.0
126_7150,126.0,7150.0,6931.0,18.1085,18.2606,5.0,40.0,8.24,-68.0,31.0,30.5,2.40456,0.4158770000000001,123.0,121.0,0.464286,0.5125,-2.9906200000000003,87.4721,77.1364,1.0,0.0,2.0
695_6881,695.0,6881.0,6857.0,17.3668,16.9036,4.0,56.0,27.62,-70.0,10.0,12.31,4.9272800000000005,0.202952,119.0,113.0,1.47917,1.69048,-4.2495699999999985,188.328,286.726,3.0,2.0,6.0
687_8177,687.0,8177.0,8136.0,19.7136,19.1613,4.0,57.0,53.54,-68.0,38.0,45.05,1.57946,0.633128,116.0,106.0,2.41176,0.962963,-6.6125,24.5253,34.1706,3.0,2.0,3.0
556_1817,556.0,1817.0,1865.0,19.2397,18.5689,5.0,7.0,21.04,-70.0,22.0,49.34,1.26327,0.791596,118.0,120.0,1.3137299999999998,0.904762,-0.0955173,32.6187,59.6277,3.0,1.0,2.0
21_10899,21.0,10899.0,10298.0,17.4374,16.5045,5.0,48.0,36.53,-69.0,44.0,29.05,2.6617900000000003,0.375687,114.0,109.0,2.45455,2.11429,-13.558,206.158,421.087,2.0,2.0,1.0
194_1586,194.0,1586.0,1769.0,19.6616,18.8509,5.0,37.0,28.21,-70.0,42.0,56.95,2.36476,0.422876,124.0,123.0,2.75758,1.92857,-5.46676,24.8453,50.7754,3.0,2.0,4.0
270_9763,270.0,9763.0,12346.0,19.6679,19.371,5.0,28.0,47.31,-69.0,21.0,28.84,1.14747,0.871482,111.0,104.0,1.6428599999999998,1.53659,-3.5152300000000003,25.1675,33.8348,3.0,1.0,2.0
567_5733,567.0,5733.0,5369.0,19.1651,18.2808,5.0,6.0,3.92,-67.0,4.0,42.49,1.90253,0.525616,118.0,119.0,2.02564,1.58696,-6.785139999999998,37.5194,78.7217,3.0,2.0,3.0
643_6175,643.0,6175.0,5974.0,19.4253,18.8463,5.0,0.0,19.33,-70.0,56.0,27.74,3.76482,0.265617,112.0,105.0,2.02703,1.625,-6.36306,31.4717,47.676,3.0,2.0,6.0
279_3066,279.0,3066.0,3056.0,19.5881,18.4956,5.0,29.0,56.54,-70.0,54.0,48.93,1.82911,0.546714,121.0,125.0,2.10256,0.785714,-4.70945,26.3985,61.7737,3.0,2.0,4.0
546_6250,546.0,6250.0,6623.0,19.7183,19.0279,5.0,9.0,3.22,-68.0,30.0,40.25,0.581455,1.71982,115.0,116.0,2.83333,0.657143,-4.9972,25.4869,36.7698,3.0,2.0,1.0
108_11253,108.0,11253.0,11809.0,20.4746,19.3512,5.0,42.0,37.87,-70.0,25.0,52.99,2.8348,0.352759,110.0,116.0,1.82051,1.9,-2.58949,12.3197,31.7947,3.0,1.0,5.0
545_3473,545.0,3473.0,3525.0,20.0732,19.578,5.0,8.0,9.86,-68.0,16.0,12.06,2.11558,0.472684,115.0,106.0,2.10811,1.03846,-4.4736,18.4024,23.9893,3.0,1.0,5.0
530_2135,530.0,2135.0,2056.0,17.6283,15.5705,5.0,9.0,20.18,-70.0,44.0,46.59,306.569,0.00326191,118.0,119.0,0.552632,0.293478,-5.7411400000000015,137.57,895.93,4.0,1.0,1.0
517_2551,517.0,2551.0,2654.0,17.9355,15.675,5.0,10.0,31.48,-68.0,14.0,18.35,224.599,0.00445238,117.0,120.0,1.16667,0.764706,-4.40834,107.73,849.7710000000002,4.0,1.0,3.0
272_7422,272.0,7422.0,8205.0,17.9813,18.6613,5.0,29.0,56.25,-69.0,42.0,20.82,2.47411,0.404186,123.0,116.0,0.708333,0.506494,-0.555601,100.869,47.6943,3.0,1.0,5.0
602_11670,602.0,11670.0,11910.0,18.191,17.5458,5.0,3.0,3.67,-68.0,28.0,50.82,2.6952700000000003,0.37102,118.0,119.0,1.62222,1.05172,-6.34061,88.6663,151.116,3.0,1.0,7.0
740_9102,740.0,9102.0,8281.0,19.4498,18.8117,4.0,53.0,53.94,-68.0,2.0,21.53,3.79544,0.263474,117.0,113.0,1.48936,0.915254,-6.8498600000000005,27.9772,47.4201,3.0,2.0,6.0
516_7455,516.0,7455.0,7469.0,17.5789,17.7602,5.0,10.0,58.26,-68.0,6.0,52.94,2.87123,0.348283,117.0,118.0,0.13592200000000002,0.340909,-4.59435,132.542,116.447,1.0,1.0,1.0
613_8989,613.0,8989.0,9074.0,18.9058,16.0181,5.0,1.0,57.42,-70.0,33.0,44.92,232.044,0.00430953,118.0,119.0,2.02564,1.28846,-17.1878,51.6011,669.0989999999998,4.0,2.0,1.0
275_6561,275.0,6561.0,6939.0,18.6909,17.1995,5.0,30.0,40.2,-70.0,14.0,32.63,1.94825,0.513281,122.0,125.0,1.97561,1.04918,-5.21672,60.8685,213.922,3.0,1.0,4.0
203_2913,203.0,2913.0,3068.0,17.9319,18.2415,5.0,32.0,32.72,-67.0,5.0,58.43,1.70856,0.585288,124.0,124.0,1.21429,0.968254,-3.4879800000000003,108.47,79.7696,3.0,0.0,4.0
54_1388,54.0,1388.0,1522.0,19.5882,18.8527,5.0,49.0,7.71,-70.0,40.0,46.27,3.20516,0.311997,122.0,122.0,1.39216,2.2973,-4.35542,25.1967,50.0114,3.0,2.0,8.0
216_8860,216.0,8860.0,9581.0,19.1184,18.2231,5.0,33.0,54.25,-69.0,41.0,47.88,2.28202,0.438208,124.0,124.0,0.8787879999999999,1.21429,-0.0245862,36.2556,85.9916,3.0,1.0,8.0
502_1916,502.0,1916.0,1905.0,19.2562,19.0905,5.0,11.0,48.0,-70.0,42.0,32.77,2.0741,0.482137,118.0,119.0,0.325843,1.01695,0.030754900000000005,29.9483,36.4078,1.0,0.0,1.0
496_149,496.0,149.0,213.0,18.3622,15.6882,5.0,12.0,55.13,-69.0,37.0,56.95,506.024,0.00197619,119.0,119.0,1.42857,0.95082,-12.2768,74.6746,837.3530000000002,4.0,2.0,1.0
634_5827,634.0,5827.0,6190.0,18.4607,17.2849,5.0,0.0,20.88,-69.0,7.0,11.53,1.95206,0.512279,118.0,119.0,2.37143,0.859375,-5.74386,71.3137,193.788,3.0,2.0,4.0
583_5658,583.0,5658.0,6021.0,19.4733,18.492,5.0,3.0,48.35,-70.0,9.0,53.45,3.03581,0.329401,117.0,120.0,0.918033,0.4814810000000001,-1.57463,25.6744,60.8173,3.0,1.0,8.0
612_8369,612.0,8369.0,8646.0,16.1201,15.7071,5.0,2.0,23.28,-70.0,25.0,23.21,18.75,0.053333300000000014,119.0,118.0,1.76744,1.07018,-9.52204,615.481,824.317,2.0,3.0,4.0
240_10786,240.0,10786.0,11714.0,19.0741,18.6954,5.0,30.0,30.72,-68.0,53.0,28.21,1.47822,0.676489,124.0,124.0,2.75758,1.2963,-5.29024,42.1222,53.6414,3.0,2.0,3.0
245_5391,245.0,5391.0,12119.0,19.0735,18.0098,5.0,30.0,48.53,-69.0,49.0,58.14,1.01742,0.982878,123.0,123.0,3.92,4.59091,-2.5531900000000003,46.8128,115.253,3.0,2.0,2.0
269_4824,269.0,4824.0,5275.0,19.2957,18.5117,5.0,28.0,26.94,-69.0,3.0,44.34,2.47047,0.404781,123.0,125.0,1.41176,1.31481,-2.28202,31.8586,64.8656,3.0,1.0,4.0
608_9446,608.0,9446.0,12824.0,18.575,16.0381,5.0,2.0,53.51,-69.0,41.0,3.03,278.146,0.00359523,119.0,120.0,1.01695,0.935484,-2.9525900000000003,59.4114,612.716,4.0,0.0,2.0
191_4879,191.0,4879.0,5263.0,15.8419,15.2034,5.0,35.0,44.23,-70.0,10.0,20.35,16.0183,0.0624286,124.0,124.0,2.875,1.81818,-15.3007,1003.33,1393.24,2.0,2.0,4.0
243_4709,243.0,4709.0,4986.0,15.9104,15.3027,5.0,30.0,57.86,-69.0,25.0,58.07,4.99704,0.200118,100.0,99.0,0.851852,0.434783,-0.8444370000000001,686.076,1149.04,1.0,0.0,5.0
261_9570,261.0,9570.0,11211.0,16.4273,15.707,5.0,28.0,28.03,-67.0,36.0,22.02,12.939,0.0772857,123.0,125.0,0.618421,1.84091,-2.97467,415.829,875.557,3.0,0.0,13.0
324_1853,324.0,1853.0,1986.0,19.2194,18.0135,5.0,25.0,25.04,-68.0,47.0,40.84,1.58999,0.628935,123.0,125.0,1.46,1.77778,-2.8778,34.5382,102.47,3.0,2.0,5.0
517_535,517.0,535.0,518.0,18.3759,18.169,5.0,11.0,17.18,-68.0,12.0,12.19,2.4327,0.411066,117.0,119.0,1.48936,1.33333,-2.06911,72.727,86.9615,3.0,0.0,9.0
272_841,272.0,841.0,946.0,17.8987,14.890999999999998,5.0,30.0,17.53,-69.0,36.0,22.37,3.98522,0.250927,123.0,125.0,2.15385,0.923077,-4.59893,118.022,1760.65,3.0,1.0,4.0
495_2127,495.0,2127.0,2259.0,18.7688,18.4804,5.0,12.0,17.05,-69.0,25.0,44.31,2.43679,0.410376,117.0,120.0,1.925,1.30769,-2.10386,56.861,66.5647,3.0,2.0,4.0
212_11137,212.0,11137.0,12392.0,14.8608,15.3042,5.0,32.0,33.15,-68.0,57.0,45.27,7.28406,0.137286,124.0,124.0,0.252525,0.47619,-4.39705,1659.69,1145.29,1.0,1.0,5.0
686_2704,686.0,2704.0,2613.0,17.9267,17.648,4.0,57.0,59.99,-68.0,19.0,31.97,8.25955,0.121072,117.0,115.0,0.0934579,0.210526,-6.22124,94.6155,124.885,1.0,1.0,2.0
558_46,558.0,46.0,78.0,20.0558,19.3565,5.0,7.0,49.57,-70.0,42.0,47.3,1.96218,0.509637,111.0,106.0,0.5857140000000001,0.927273,0.339997,14.0817,29.1514,3.0,0.0,3.0
261_460,261.0,460.0,440.0,18.7788,16.9603,5.0,29.0,39.68,-67.0,27.0,28.19,2.00624,0.498445,123.0,125.0,0.518519,0.344086,0.130174,47.7983,252.172,1.0,0.0,2.0
747_6136,747.0,6136.0,6164.0,19.6534,18.788,4.0,53.0,13.22,-69.0,20.0,4.66,4.5602800000000006,0.219285,118.0,114.0,2.18919,1.23529,-3.58368,25.0764,49.9929,2.0,1.0,3.0
546_10814,546.0,10814.0,11546.0,16.1863,15.5303,5.0,7.0,25.8,-68.0,28.0,36.5,19.617,0.050976199999999985,117.0,120.0,1.925,1.10526,-8.68459,589.934,976.553,2.0,2.0,4.0
648_5346,648.0,5346.0,5009.0,19.4337,19.0438,5.0,0.0,50.26,-66.0,25.0,54.6,1.0552,0.947688,115.0,111.0,3.10714,1.5814,-8.047369999999999,32.1546,40.0173,3.0,2.0,2.0
244_7852,244.0,7852.0,12608.0,19.501,19.0735,5.0,32.0,6.58,-69.0,43.0,41.64,1.55767,0.641985,90.0,82.0,2.4615400000000003,1.73333,-3.26215,33.1132,42.4454,3.0,2.0,3.0
482_3902,482.0,3902.0,3660.0,19.4652,19.0057,5.0,12.0,39.34,-66.0,52.0,27.74,1.05486,0.947993,116.0,115.0,3.64,1.875,-8.13911,34.6332,42.2173,3.0,2.0,2.0
242_7372,242.0,7372.0,8151.0,19.4394,18.904,5.0,31.0,47.85,-69.0,19.0,23.83,1.42971,0.699443,100.0,95.0,1.5,1.06522,-6.65038,29.171,43.8889,3.0,2.0,3.0
375_2632,375.0,2632.0,9567.0,19.7016,18.8864,5.0,20.0,56.92,-67.0,56.0,23.63,2.81033,0.35583000000000004,122.0,104.0,1.17857,0.762712,-6.0263,20.9564,43.4375,3.0,1.0,4.0
303_4784,303.0,4784.0,5088.0,18.2215,16.0092,5.0,26.0,49.67,-70.0,12.0,29.02,1.00318,0.99683,123.0,124.0,0.382022,0.425287,-1.59358,78.6047,599.055,1.0,0.0,1.0
305_7737,305.0,7737.0,7942.0,19.6169,18.7085,5.0,28.0,11.2,-70.0,36.0,57.56,2.6596,0.375996,123.0,122.0,2.23684,0.71831,-3.6848,26.3362,50.2568,3.0,2.0,5.0
302_3205,302.0,3205.0,3244.0,16.4084,15.9078,5.0,27.0,17.1,-69.0,58.0,53.26,3.16363,0.316093,123.0,100.0,2.41667,1.85714,-12.113,546.904,730.138,1.0,2.0,2.0
278_10274,278.0,10274.0,10376.0,19.2971,18.2205,5.0,29.0,33.86,-70.0,49.0,57.05,0.563136,1.77577,123.0,125.0,2.23684,0.582278,-4.67391,33.7505,80.128,3.0,1.0,1.0
354_8598,354.0,8598.0,9364.0,16.2008,15.4184,5.0,22.0,48.04,-69.0,20.0,3.03,13.2785,0.0753097,123.0,118.0,2.96774,1.18519,-3.15669,683.7689999999999,1101.13,2.0,1.0,5.0
246_2131,246.0,2131.0,2394.0,14.7634,14.5549,5.0,32.0,11.9,-70.0,0.0,18.99,15.0971,0.06623789999999999,123.0,124.0,2.84375,1.25455,-10.2423,2476.97,2397.64,2.0,2.0,4.0
737_5978,737.0,5978.0,5734.0,16.6496,16.0447,4.0,55.0,40.8,-67.0,25.0,47.52,9.36869,0.106739,119.0,116.0,0.983333,0.589041,-2.3366,347.5,587.294,2.0,2.0,5.0
552_10372,552.0,10372.0,11032.0,19.2689,19.069000000000006,5.0,6.0,55.51,-69.0,39.0,18.71,4.48146,0.223142,117.0,120.0,0.0733945,0.967213,-3.35399,23.9982,37.8365,1.0,1.0,1.0
526_9007,526.0,9007.0,12506.0,19.8253,18.4169,5.0,9.0,25.35,-70.0,6.0,31.89,8.50543,0.117572,119.0,120.0,0.95082,0.7391300000000001,-1.67137,18.8696,66.8611,2.0,1.0,5.0
237_663,237.0,663.0,644.0,19.9599,19.178,5.0,31.0,54.21,-68.0,13.0,20.39,1.05749,0.945635,123.0,123.0,1.27778,1.61702,-1.19244,16.9514,36.0684,3.0,1.0,5.0
245_3344,245.0,3344.0,3698.0,18.5483,17.9194,5.0,31.0,35.54,-69.0,48.0,16.24,1.16072,0.861534,123.0,123.0,1.73333,2.0,-0.070664,65.1739,114.312,3.0,0.0,2.0
484_1834,484.0,1834.0,1930.0,19.3587,18.784,5.0,13.0,9.85,-67.0,20.0,21.32,3.77599,0.264831,118.0,117.0,2.57576,1.34,-6.2176300000000015,34.1579,49.6065,3.0,2.0,6.0
583_4491,583.0,4491.0,4825.0,17.971,15.9648,5.0,4.0,18.19,-70.0,6.0,5.32,6.64031,0.150595,119.0,120.0,1.83333,0.791045,-0.494364,106.09,647.137,2.0,0.0,5.0
748_5036,748.0,5036.0,5401.0,15.7936,15.8985,4.0,51.0,29.67,-69.0,26.0,26.81,2.97138,0.336544,118.0,115.0,1.40816,0.949153,-0.0416314,782.8389999999998,695.7610000000002,3.0,0.0,6.0
263_365,263.0,365.0,353.0,19.3681,18.9915,5.0,29.0,51.49,-67.0,54.0,59.09,0.636542,1.57099,121.0,125.0,3.3214300000000003,1.60417,-8.29803,34.2136,42.7786,3.0,2.0,1.0
631_12058,631.0,12058.0,12493.0,18.8468,18.4364,5.0,0.0,42.41,-68.0,41.0,14.67,2.18434,0.457804,101.0,117.0,2.25806,1.34,-3.21206,49.899,68.6772,3.0,2.0,4.0
640_9011,640.0,9011.0,9267.0,19.252,19.0699,4.0,59.0,53.1,-70.0,22.0,0.98,3.89072,0.257022,118.0,106.0,0.966667,0.341772,-3.2870800000000004,31.5826,31.7848,3.0,2.0,7.0
124_10795,124.0,10795.0,10109.0,16.2091,15.9248,5.0,38.0,18.93,-68.0,5.0,5.42,15.6018,0.0640952,123.0,120.0,2.72727,0.818182,-4.56156,619.802,662.929,2.0,2.0,3.0
554_8712,554.0,8712.0,9180.0,19.1875,18.7758,5.0,7.0,14.13,-70.0,1.0,52.48,5.1370000000000005,0.194666,119.0,118.0,2.83871,1.07018,-4.02146,38.5662,48.8533,3.0,2.0,8.0
496_816,496.0,816.0,941.0,19.093,18.2962,5.0,12.0,39.93,-69.0,37.0,20.78,1.71183,0.58417,119.0,119.0,1.01695,2.60606,-1.72058,36.8015,81.8791,3.0,1.0,6.0
708_7178,708.0,7178.0,6759.0,19.3514,18.8163,4.0,57.0,23.45,-67.0,15.0,49.54,2.63062,0.380139,118.0,114.0,1.74419,2.16667,-0.656964,30.5461,50.6699,3.0,1.0,4.0
